conglome,vivienda,hogar,mieperho,percepho,pobreza,gashog2d,inghog2d,ubigeo,dependientes,ingreso_prom_perceptor,diferencia_ingreso_gasto,pobreza_etiqueta,pobreza_binaria,result,nbi1,nbi2,nbi3,nbi4,nbi5
9815,10,11,3,2,2,8155.23876953125,29219.251953125,90114,1,1217.4688313802083,21064.01318359375,not extreme poor,poor,1,0,0,0,0,0
9815,11,11,3,3,3,12910.5009765625,15324.4248046875,90114,0,425.678466796875,2413.923828125,not poor,not poor,1,0,0,0,0,0
9815,12,11,5,5,3,26263.986328125,57552.72265625,90114,0,959.2120442708333,31288.736328125,not poor,not poor,1,0,0,0,0,0
9815,40,11,1,1,3,4829.09814453125,3515.27685546875,90114,0,292.9397379557292,-1313.8212890625,not poor,not poor,1,0,0,0,0,0
9815,41,11,1,1,3,10657.244140625,13131.1181640625,90114,0,1094.2598470052083,2473.8740234375,not poor,not poor,1,0,0,0,0,0
9815,43,11,7,6,3,33276.61328125,60471.34375,90114,1,839.8797743055555,27194.73046875,not poor,not poor,1,0,0,0,0,0
9815,50,11,4,2,2,14568.904296875,10066.8583984375,90114,2,419.4524332682292,-4502.0458984375,not extreme poor,poor,1,0,0,0,0,0
9876,1,11,2,2,3,11285.87109375,14977.4736328125,230104,0,624.0614013671875,3691.6025390625,not poor,not poor,1,0,0,0,0,0
9876,30,11,4,1,3,32124.33203125,27454.041015625,230104,3,2287.8367513020835,-4670.291015625,not poor,not poor,2,0,0,0,0,0
9876,46,11,5,3,2,20645.091796875,31488.0,230104,2,874.6666666666666,10842.908203125,not extreme poor,poor,2,0,0,0,0,0
9876,64,11,2,2,3,19351.595703125,19388.388671875,230104,0,807.8495279947916,36.79296875,not poor,not poor,2,0,0,0,0,0
9876,81,11,1,1,3,28298.919921875,41819.80859375,230104,0,3484.9840494791665,13520.888671875,not poor,not poor,1,0,0,0,0,0
9876,85,11,2,1,3,23823.185546875,22154.15234375,230104,1,1846.1793619791667,-1669.033203125,not poor,not poor,1,0,0,0,0,0
9966,8,11,2,2,3,13843.5166015625,16143.5244140625,170101,0,672.6468505859375,2300.0078125,not poor,not poor,1,1,0,0,0,0
9966,11,11,1,1,3,9522.99609375,9560.7880859375,170101,0,796.7323404947916,37.7919921875,not poor,not poor,1,1,0,0,0,0
9966,13,11,1,1,3,19555.134765625,18833.31640625,170101,0,1569.4430338541667,-721.818359375,not poor,not poor,1,1,0,0,0,0
9966,17,11,1,1,3,17940.28515625,12578.6220703125,170101,0,1048.218505859375,-5361.6630859375,not poor,not poor,1,0,0,1,0,0
10016,6,11,5,1,2,15004.583984375,18298.615234375,20101,4,1524.8846028645833,3294.03125,not extreme poor,poor,1,0,1,0,0,1
10016,21,11,3,3,3,49562.15234375,51087.38671875,20101,0,1419.0940755208333,1525.234375,not poor,not poor,1,0,0,0,0,0
10016,37,11,4,4,2,12954.96484375,14389.2265625,20101,0,299.7755533854167,1434.26171875,not extreme poor,poor,1,0,0,0,0,0
10016,46,11,5,5,2,21003.419921875,40357.34375,20101,0,672.6223958333334,19353.923828125,not extreme poor,poor,1,0,0,0,0,0
10016,55,11,4,3,3,19003.861328125,23199.1328125,20101,1,644.4203559027778,4195.271484375,not poor,not poor,1,0,0,0,0,0
10035,23,11,1,1,3,12701.1025390625,18533.0,40109,0,1544.4166666666667,5831.8974609375,not poor,not poor,1,0,0,0,0,0
10035,40,11,3,1,3,36932.625,27238.162109375,40109,2,2269.8468424479165,-9694.462890625,not poor,not poor,1,0,0,0,0,0
10035,67,11,3,3,3,25900.005859375,39036.59375,40109,0,1084.349826388889,13136.587890625,not poor,not poor,2,0,0,0,0,0
10035,81,11,2,2,3,17181.244140625,6762.5517578125,40109,0,281.7729899088542,-10418.6923828125,not poor,not poor,1,0,0,0,0,0
10035,97,11,5,3,3,38350.09375,85793.671875,40109,2,2383.1575520833335,47443.578125,not poor,not poor,1,0,0,0,0,0
10035,109,11,1,1,3,14824.7197265625,28066.0,40109,0,2338.8333333333335,13241.2802734375,not poor,not poor,1,0,0,0,0,0
10099,33,11,2,2,3,19883.45703125,27837.65625,80606,0,1159.90234375,7954.19921875,not poor,not poor,1,0,0,0,0,0
10099,34,11,6,2,3,29702.33203125,24368.95703125,80606,4,1015.3732096354166,-5333.375,not poor,not poor,1,0,0,0,0,0
10099,35,11,3,2,2,9241.12890625,12791.8330078125,80606,1,532.9930419921875,3550.7041015625,not extreme poor,poor,1,0,0,0,0,0
10099,100,11,3,2,3,23044.634765625,20161.021484375,80606,1,840.0425618489584,-2883.61328125,not poor,not poor,1,0,0,1,0,0
